"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","746","Login with users 1","chromium","Mon Sep 29 01:34:26 IST 2025","passed","Mon Sep 29 01:34:26 IST 2025","Data driven Login test > Login with users","login2.spec.js","",""
"","3631","Verify Application Title Using Loop","webkit","Mon Sep 29 01:35:02 IST 2025","failed","Mon Sep 29 01:35:06 IST 2025","","handleautosuggestions.spec.js","",""
"","1578","Login with users 1","firefox","Mon Sep 29 01:34:43 IST 2025","passed","Mon Sep 29 01:34:45 IST 2025","Data driven Login test > Login with users","login2.spec.js","",""
"","10697","Valid Login Test","webkit","Mon Sep 29 01:35:08 IST 2025","passed","Mon Sep 29 01:35:19 IST 2025","","login.spec.js","",""
"","3143","Working with Load State","firefox","Mon Sep 29 01:34:51 IST 2025","passed","Mon Sep 29 01:34:54 IST 2025","","waitFor.spec.js","",""
"","13004","Login Test Auto Generated by PW","webkit","Mon Sep 29 01:34:55 IST 2025","passed","Mon Sep 29 01:35:08 IST 2025","","codegen.spec.js","",""
"","2943","Working with Load State","webkit","Mon Sep 29 01:35:14 IST 2025","passed","Mon Sep 29 01:35:17 IST 2025","","waitFor.spec.js","",""
"","1706","Valid Login","chromium","Mon Sep 29 01:34:26 IST 2025","passed","Mon Sep 29 01:34:28 IST 2025","","mousehover.spec.js","",""
"","7400","Verify Error Message","webkit","Mon Sep 29 01:35:11 IST 2025","passed","Mon Sep 29 01:35:19 IST 2025","","verfiyErrorMessage.spec.js","",""
"","3824","Verify Application Title Using Loop","chromium","Mon Sep 29 01:34:20 IST 2025","failed","Mon Sep 29 01:34:23 IST 2025","","handleautosuggestions.spec.js","",""
"","7355","Verify Application Title Using Loop","firefox","Mon Sep 29 01:34:43 IST 2025","failed","Mon Sep 29 01:34:50 IST 2025","","handleautosuggestions.spec.js","",""
"","2179","Handle Frames","firefox","Mon Sep 29 01:34:40 IST 2025","passed","Mon Sep 29 01:34:42 IST 2025","","HandleFrames.spec.js","",""
"","1362","Verify Application Title","chromium","Mon Sep 29 01:34:17 IST 2025","passed","Mon Sep 29 01:34:19 IST 2025","","google.spec.js","",""
"","4526","Valid Login","firefox","Mon Sep 29 01:34:46 IST 2025","passed","Mon Sep 29 01:34:51 IST 2025","","mousehover.spec.js","",""
"","4815","Handle Alert","chromium","Mon Sep 29 01:34:17 IST 2025","passed","Mon Sep 29 01:34:22 IST 2025","","handlealert.spec.js","",""
